gene_id	enriched_in	symbol
74007	Control	Abtb3
16000	Control	Igf1
77531	Control	Anks1b
627800	Control	Gm20757
327799	Control	Usp44
54712	Control	Plxnc1
216238	Control	Eea1
12226	Control	Btg1
16545	Control	Kera
67603	Control	Dusp6
67569	Control	Mgat4c
380660	Control	Acss3
102640148	Control	Gm36283
20979	Control	Syt1
260315	Control	Nav3
75630	Control	1700020G17Rik
19263	Control	Ptprb
74053	Control	Grip1
216393	Control	D930020B18Rik
117600	Control	Srgap1
75030	Control	4930503E24Rik
100043200	Control	Or10u4
108167789	Control	Gm10310
236604	Control	Pisd-ps1
12323	Control	Camk2b
194974	Control	Sun3
114716	Control	Spred2
58172	Control	Sertad2
216549	Control	Aftph
75572	Control	Acyp2
65257	Control	Asb3
68044	Control	Chac2
69556	Control	Bod1
66011	Control	Ranbp17
574403	Control	Insyn2b
94176	Control	Dock2
20564	Control	Slit3
14399	Control	Gabra6
75389	Control	4930597A21Rik
432552	Control	Garin3
22678	Control	Zfp2
27274	Control	Zfp354b
237759	Control	Col23a1
11749	Control	Anxa6
258065	Control	Or5af1
258530	Control	Or9e1
26936	Control	Mprip
69320	Control	1700007J10Rik
102465555	Control	Mir6921
102465556	Control	Mir6922
19377	Control	Rai1
20787	Control	Srebf1
23939	Control	Mapk7
27078	Control	B9d1
327954	Control	Dnah2
19175	Control	Psmb6
216871	Control	Gltpd2
327956	Control	Vmo1
75604	Control	Tm4sf5
14723	Control	Gp1ba
67863	Control	Slc25a11
70510	Control	Rnf167
195046	Control	Nlrp1a
67128	Control	Ube2g1
55984	Control	Camkk1
66874	Control	Ncbp3
380711	Control	Rap1gap2
13447	Control	Doc2b
22627	Control	Ywhae
18230	Control	Nxn
276919	Control	Gemin4
67201	Control	Glod4
67390	Control	Mrm3
109934	Control	Abr
12874	Control	Cpd
791423	Control	Gm11190
16859	Control	Lgals9
18126	Control	Nos2
11418	Control	Asic2
12467	Control	Cct6b
67338	Control	Rffl
192197	Control	Bcas3
69909	Control	2610027K06Rik
83560	Control	Tex14
76113	Control	Lpo
72605	Control	Car10
110172	Control	Slc35b1
215512	Control	Fam117a
14607	Control	Gip
217138	Control	Prr15l
319371	Control	D030028A08Rik
80280	Control	Cdk5rap3
56013	Control	Srcin1
16796	Control	Lasp1
68127	Control	B230217C12Rik
72973	Control	Fbxo47
450219	Control	Gsdma3
670464	Control	Krtap4-23
670482	Control	Krtap4-20
69464	Control	Krtap4-13
20850	Control	Stat5a
20851	Control	Stat5b
103768	Control	Tubg2
12777	Control	Ccr10
217198	Control	Plekhh3
53321	Control	Cntnap1
11858	Control	Rnd2
26949	Control	Vat1
102465561	Control	Mir6930
51799	Control	Rundc3a
68066	Control	Slc25a39
53859	Control	Map3k14
18195	Control	Nsf
77097	Control	Tanc2
76380	Control	Cep112
13929	Control	Amz2
52639	Control	Wipi1
74008	Control	Arsg
26399	Control	Map2k6
237979	Control	Sdk2
217302	Control	Gpr142
286942	Control	Kif19a
72014	Control	Btbd17
217310	Control	Hid1
140721	Control	Caskin2
217325	Control	Llgl2
76265	Control	Tsen54
22378	Control	Wbp2
217341	Control	Qrich2
114886	Control	Cygb
67622	Control	Mxra7
52897	Control	Rbfox3
100503830	Control	Gm11762
18164	Control	Nptx1
208092	Control	Chmp6
71457	Control	7420701I03Rik
19878	Control	Rock2
66808	Control	9030624G23Rik
17933	Control	Myt1l
13382	Control	Dld
13487	Control	Slc26a3
238123	Control	Cog5
380753	Control	Atxn7l1
217463	Control	Snx13
217473	Control	Ankmy2
71156	Control	Lrrc72
75494	Control	1700008C04Rik
238161	Control	Akap6
100101806	Control	Srp54c
665155	Control	Srp54b
338320	Control	Mia2
238205	Control	Lrfn5
68055	Control	Dmac2l
71091	Control	Cdkl1
319710	Control	Frmd6
59036	Control	Dact1
380765	Control	D830013O20Rik
80837	Control	Rhoj
13983	Control	Esr2
19363	Control	Rad51b
54604	Control	Pcnx1
320244	Control	Ttll5
100039087	Control	Gm2042
544881	Control	Eif1ad2
71349	Control	5430427M07Rik
75216	Control	Cep128
22095	Control	Tshr
105245437	Control	Gm40893
72258	Control	Kcnk10
104871	Control	Spata7
24000	Control	Ptpn21
78767	Control	Efcab11
73086	Control	Rps6ka5
100233175	Control	Gon7
217837	Control	Itpk1
26931	Control	Ppp2r5c
104859	Control	Tecpr2
19276	Control	Ptprn2
70405	Control	Calml3
20191	Control	Ryr2
11472	Control	Actn2
238505	Control	Mtr
14634	Control	Gli3
218030	Control	Pou6f2
105298	Control	Epdr1
20379	Control	Sfrp4
73412	Control	Nme8
140580	Control	Elmo1
27052	Control	Aoah
258527	Control	Or2ad1
214158	Control	Trim38
326619	Control	H4c1
360198	Control	H3c1
80838	Control	H1f1
210108	Control	D130043K22Rik
56196	Control	Tdp2
69955	Control	Fars2
218165	Control	Ofcc1
109254	Control	Adtrp
218194	Control	Phactr1
218215	Control	Rnf144b
74325	Control	Cltb
76577	Control	Faf2
14186	Control	Fgfr4
17129	Control	Smad5
75050	Control	Kif27
114304	Control	Slc28a3
18212	Control	Ntrk2
105348	Control	Golm1
70900	Control	4921517D22Rik
66631	Control	Mfsd14b
628709	Control	Zfp997
102637366	Control	Krbox5
238726	Control	Fam81b
78771	Control	Mctp1
72371	Control	2210408I21Rik
12950	Control	Hapln1
17686	Control	Msh3
100715	Control	Tent2
218506	Control	Mrps27
68927	Control	Ptcd2
71174	Control	4933416M06Rik
108154	Control	Adamts6
67285	Control	Cwc27
67288	Control	Srek1ip1
77803	Control	Shisal2b
52882	Control	Rgs7bp
67263	Control	Zswim6
75597	Control	Ndufaf2
218581	Control	Depdc1b
238871	Control	Pde4d
73274	Control	Gpbp1
170625	Control	Snx18
106029237	Control	Tcstv2b
100040852	Control	Gm3002
100041874	Control	Gm3558
674895	Control	Nek10
21834	Control	Thrb
75602	Control	1810062O18Rik
78787	Control	Usp54
102631887	Control	Gm30108
12325	Control	Camk2g
19065	Control	Npy4r
14803	Control	Grid1
239036	Control	4930596D02Rik
18183	Control	Nrg3
20390	Control	Sftpd
100042055	Control	Gm10377
108168154	Control	Gm9732
434459	Control	Gm5622
21821	Control	Ift88
14463	Control	Gata4
74425	Control	4933402J15Rik
24064	Control	Spry2
73631	Control	1700128A07Rik
105445	Control	Dock9
68245	Control	1700108J01Rik
69634	Control	Clybl
328479	Control	Gm5089
545085	Control	Wdr70
223332	Control	Ranbp3l
100502601	Control	Gm19276
320873	Control	Cdh10
215654	Control	Cdh12
320865	Control	Cdh18
17909	Control	Myo10
448987	Control	Fbxl7
666173	Control	Vps13b
18458	Control	Pabpc1
382985	Control	Rrm2b
70790	Control	Ubr5
116838	Control	Rims2
319613	Control	Sybu
100502643	Control	Gm19303
14042	Control	Ext1
320679	Control	Samd12
20649	Control	Sntb1
15117	Control	Has2
594843	Control	Has2os
387609	Control	Zhx2
631797	Control	Fer1l6
211770	Control	Trib1
11514	Control	Adcy8
70363	Control	Fam135b
69700	Control	Col22a1
14083	Control	Ptk2
75761	Control	Apol7a
328572	Control	Ep300
19387	Control	Rangap1
20788	Control	Srebf2
76457	Control	Ccdc134
67130	Control	Ndufa6
68607	Control	Serhl
74778	Control	Rrp7a
75772	Control	Pnpla5
18766	Control	Pkdrej
19013	Control	Ppara
72355	Control	Cdpf1
106014	Control	Tafa5
320709	Control	Tmem117
239647	Control	Pced1b
100217417	Control	Snora34
102466255	Control	Mir1291
69612	Control	Kansl2
75951	Control	4930578M01Rik
11908	Control	Atf1
102465580	Control	Mir6961
207818	Control	Smagp
668218	Control	Bin2
110310	Control	Krt7
11515	Control	Adcy9
106393	Control	Srl
246154	Control	Vasn
78885	Control	Coro7
83945	Control	Dnaja3
12703	Control	Socs1
21959	Control	Tnp2
72555	Control	Shisa9
239719	Control	Mrtfb
545280	Control	A630010A05Rik
74006	Control	Dnm1l
224014	Control	Fgd4
100042948	Control	Gm15760
11773	Control	Ap2m1
27406	Control	Abcf3
16419	Control	Itgb5
22247	Control	Umps
67657	Control	Rabl3
74197	Control	Gtf2e1
12549	Control	Arhgap31
268890	Control	Lsamp
100503040	Control	Gm19522
56490	Control	Zbtb20
73703	Control	Dppa2
100628589	Control	Mir5118
224224	Control	Impg2
21787	Control	Tfg
239853	Control	Adgrg7
56277	Control	Tmem45a
66497	Control	Cmss1
13840	Control	Epha6
13837	Control	Epha3
72020	Control	Zfp654
239857	Control	Cadm2
78110	Control	4930428D20Rik
74185	Control	Gbe1
19876	Control	Robo1
30940	Control	Usp25
76601	Control	1700041M19Rik
387229	Control	Mir99a
387246	Control	Mirlet7c-1
77994	Control	Mir99ahg
11820	Control	App
50913	Control	Olig2
12394	Control	Runx1
56173	Control	Cldn14
102633941	Control	Gm31641
69776	Control	1600002D24Rik
50795	Control	Sh3bgr
56175	Control	Bace2
328734	Control	Pisd-ps2
24001	Control	Tiam2
101055731	Control	Gm29719
69310	Control	Pacrg
50873	Control	Prkn
104103	Control	Airn
17171	Control	Mas1
72578	Control	2700054A10Rik
17356	Control	Afdn
100862203	Control	Gm6712
66643	Control	Lix1
171232	Control	Vmn1r234
22700	Control	Zfp40
69259	Control	Kctd5
