Distance from Center (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27me3.bed mm10 -size 500000 -hist 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph)	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags
-106000	0.204054336137643	8.21968498956291e-06	8.98380669239041e-06	0.307672148776014	1.19125814409514e-05	1.2276994117275e-05
-105000	0.202950914036308	9.59896261623127e-06	1.07023847175659e-05	0.306894174204567	1.40378898096021e-05	1.48158643810488e-05
-104000	0.201993547978999	6.75279903852237e-06	7.71016509583149e-06	0.306251439053704	1.08207982794611e-05	1.14635334303245e-05
-103000	0.201230438357897	6.36074388006831e-06	7.12385350117022e-06	0.3058025808084	1.09706496299576e-05	1.14195078752609e-05
-102000	0.200405528496426	7.19520526282497e-06	8.02011512429629e-06	0.305292934404453	1.18885444999684e-05	1.23981909039155e-05
-101000	0.199788285154026	7.08140932380289e-06	7.6986526662028e-06	0.304970017078879	1.19330760958948e-05	1.22559934214688e-05
-100000	0.199220380795749	6.97159845657536e-06	7.5395028148523e-06	0.30473609969005	1.13193117844266e-05	1.15532291732557e-05
-99000	0.198175659434499	9.83553671959011e-06	1.088025808084e-05	0.304004680877981	1.41222088683661e-05	1.48536276804352e-05
-98000	0.197239736858751	5.59820355493706e-06	6.53412613068505e-06	0.303201404263394	9.0740717312923e-06	9.87734834587893e-06
-97000	0.196383578974002	8.67815801125941e-06	9.5343158960086e-06	0.302597634258966	1.29682459358593e-05	1.35720159402872e-05
-96000	0.195598519830476	5.0725536087039e-06	5.85761275222974e-06	0.302208109304826	9.84622683281675e-06	1.02357517869568e-05
-95000	0.194652413182364	9.01163893984439e-06	9.95774558795623e-06	0.301624644190018	1.3128154848504e-05	1.3711619963312e-05
-94000	0.193757922702258	6.28382566892276e-06	7.17831614902903e-06	0.300967550129673	1.0700676829654e-05	1.13577708899994e-05
-93000	0.192527674109684	9.06078815864381e-06	1.02910367512176e-05	0.299875766968183	1.32977417926498e-05	1.438952495414e-05
-92000	0.191542286039598	6.72768676070592e-06	7.71307483079259e-06	0.299152634575242	1.08939211841356e-05	1.16170535770763e-05
-91000	0.189897273704852	7.22860395976975e-06	8.87361629451578e-06	0.29792175343159	1.17502055791005e-05	1.29810867227529e-05
-90000	0.188955405148966	7.81131001328358e-06	8.75317856916945e-06	0.297158011259409	1.16170535770763e-05	1.23807957492568e-05
-89000	0.188297868302865	6.43013473337972e-06	7.08767157948005e-06	0.296675374786514	1.1354987665254e-05	1.18376241381492e-05
-88000	0.18770580049339	7.13928774748561e-06	7.73135555696122e-06	0.29640982984376	1.21854639762161e-05	1.24510089189702e-05
-87000	0.186091656651275	6.54456322348029e-06	8.15870706559555e-06	0.295192928078942	1.07013726358404e-05	1.19182744006578e-05
-86000	0.184877474856095	7.49655259662218e-06	8.71073439180213e-06	0.294517679802644	1.22458093491049e-05	1.29210576254033e-05
-85000	0.184260294768803	5.69049275729015e-06	6.3076728445822e-06	0.294223986336897	1.08949332658612e-05	1.11886267316086e-05
-84000	0.182946612688975	7.13315200202416e-06	8.4468340818521e-06	0.293247960022772	1.18051742678221e-05	1.2781200581947e-05
-83000	0.181980201151243	7.51913467012462e-06	8.48554620785628e-06	0.292756531089886	1.21153773167183e-05	1.26068062496047e-05
-82000	0.181813903472705	6.3718767790499e-06	6.53817445758745e-06	0.292905686634196	1.13212094376621e-05	1.11720538933519e-05
-81000	0.180681131001328	7.08691251818584e-06	8.21968498956291e-06	0.292189638813334	1.11965336200898e-05	1.19125814409514e-05
-80000	0.179457903725726	8.37573534062876e-06	9.59896261623127e-06	0.291517743057752	1.33659940540199e-05	1.40378898096021e-05
-79000	0.178277626668353	5.57252198114997e-06	6.75279903852237e-06	0.290619963312037	9.9230185337466e-06	1.08207982794611e-05
-78000	0.177588652033652	5.67176924536657e-06	6.36074388006831e-06	0.290343411980517	1.06940982984376e-05	1.09706496299576e-05
-77000	0.176711303687773	6.31785691694604e-06	7.19520526282497e-06	0.289712379024606	1.12575115440572e-05	1.18885444999684e-05
-76000	0.176041621860965	6.41172749699538e-06	7.08140932380289e-06	0.289215004111582	1.14357011828705e-05	1.19330760958948e-05
-75000	0.175131191093681	6.06116768929092e-06	6.97159845657536e-06	0.288731292301853	1.08355999746979e-05	1.13193117844266e-05
-74000	0.173982984375988	8.68733000189764e-06	9.83553671959011e-06	0.288103928142197	1.34948447087102e-05	1.41222088683661e-05
-73000	0.172986716427352	4.60193560630021e-06	5.59820355493706e-06	0.287302485925738	8.27262951483333e-06	9.0740717312923e-06
-72000	0.171710860902018	7.40230248592574e-06	8.67815801125941e-06	0.286381428300335	1.20471883104561e-05	1.29682459358593e-05
-71000	0.170912201910304	4.27389461699032e-06	5.0725536087039e-06	0.285950914036308	9.41571256878993e-06	9.84622683281675e-06
-70000	0.16973198810804	7.83142513757986e-06	9.01163893984439e-06	0.285171294832058	1.23485356442533e-05	1.3128154848504e-05
-69000	0.168527990385224	5.07982794610665e-06	6.28382566892276e-06	0.284461256246442	9.9906382440382e-06	1.0700676829654e-05
-68000	0.167096970080334	7.62976785375419e-06	9.06078815864381e-06	0.283352963501803	1.21894490480106e-05	1.32977417926498e-05
-67000	0.166101397937883	5.73211461825543e-06	6.72768676070592e-06	0.283010057562148	1.0551015244481e-05	1.08939211841356e-05
-66000	0.164579100512366	5.70630653425264e-06	7.22860395976975e-06	0.281964450629388	1.07045986463407e-05	1.17502055791005e-05
-65000	0.163582959073945	6.81516857486242e-06	7.81131001328358e-06	0.281232209500917	1.08848124486052e-05	1.16170535770763e-05
-64000	0.16305326080081	5.90043646024417e-06	6.43013473337972e-06	0.281046239483838	1.11690176481751e-05	1.1354987665254e-05
-63000	0.161855462078563	5.94148902523879e-06	7.13928774748561e-06	0.280393573281042	1.15327977734202e-05	1.21854639762161e-05
-62000	0.160377632993864	5.06673413878171e-06	6.54456322348029e-06	0.279427667784174	9.73546713897147e-06	1.07013726358404e-05
-61000	0.159445822000126	6.56474160288444e-06	7.49655259662218e-06	0.279041621860965	1.18597634258966e-05	1.22458093491049e-05
-60000	0.158540894427225	4.78556518438864e-06	5.69049275729015e-06	0.278640394711873	1.04937061167689e-05	1.08949332658612e-05
-59000	0.157334176734771	5.9264343095705e-06	7.13315200202416e-06	0.277835726484914	1.10005060408628e-05	1.18051742678221e-05
-58000	0.155976216079448	6.16117401480169e-06	7.51913467012462e-06	0.276824403820609	1.11040546524132e-05	1.21153773167183e-05
-57000	0.155422354355114	5.81801505471567e-06	6.3718767790499e-06	0.276759757100386	1.12565627174394e-05	1.13212094376621e-05
-56000	0.154447529888038	6.11208805111013e-06	7.08691251818584e-06	0.276166740464293	1.06035169839965e-05	1.11965336200898e-05
-55000	0.153347650072743	7.27585552533366e-06	8.37573534062876e-06	0.275620532608008	1.28197861977355e-05	1.33659940540199e-05
-54000	0.152690239736859	4.91511164526535e-06	5.57252198114997e-06	0.27532949585679	9.63198178252896e-06	9.9230185337466e-06
-53000	0.15156221139857	4.54374090707825e-06	5.67176924536657e-06	0.274776646214182	1.0141248655829e-05	1.06940982984376e-05
-52000	0.151249035359605	6.0046808779809e-06	6.31785691694604e-06	0.274805996584224	1.12868619140996e-05	1.12575115440572e-05
-51000	0.15077639319375	5.93908533114049e-06	6.41172749699538e-06	0.274595736605731	1.12254412043772e-05	1.14357011828705e-05
-50000	0.149839901322032	5.12467581757227e-06	6.06116768929092e-06	0.27405737238282	1.0297235751787e-05	1.08355999746979e-05
-49000	0.148545512050098	7.39294072996394e-06	8.68733000189764e-06	0.273276804351951	1.27142766778417e-05	1.34948447087102e-05
-48000	0.14756221139857	3.6186349547726e-06	4.60193560630021e-06	0.272674425959896	7.67025112277817e-06	8.27262951483333e-06
-47000	0.14661224618888	6.45233727623506e-06	7.40230248592574e-06	0.27245954835853	1.18323107090898e-05	1.20471883104561e-05
-46000	0.145924220380796	3.58586880890632e-06	4.27389461699032e-06	0.272245872604213	9.20203681447276e-06	9.41571256878993e-06
-45000	0.144993294958568	6.90049971535202e-06	7.83142513757986e-06	0.271837687393257	1.19403504332975e-05	1.23485356442533e-05
-44000	0.144493642861661	4.58017584919983e-06	5.07982794610665e-06	0.271847934720729	1.00008855715099e-05	9.9906382440382e-06
-43000	0.143347586817636	6.48371180972863e-06	7.62976785375419e-06	0.271177683597951	1.15191979252325e-05	1.21894490480106e-05
-42000	0.142524701119615	4.90922892023532e-06	5.73211461825543e-06	0.270991650325764	1.03649819722943e-05	1.0551015244481e-05
-41000	0.141546018090961	4.72762350559808e-06	5.70630653425264e-06	0.270608071351762	1.03210196723385e-05	1.07045986463407e-05
-40000	0.141362072237333	6.63122272123474e-06	6.81516857486242e-06	0.270841103169081	1.11178442659245e-05	1.08848124486052e-05
-39000	0.14100910873553	5.54747295844139e-06	5.90043646024417e-06	0.271113669428806	1.14415839079006e-05	1.11690176481751e-05
-38000	0.140207223733316	5.13960402302486e-06	5.94148902523879e-06	0.270966727813271	1.13858561578847e-05	1.15327977734202e-05
-37000	0.139847681700297	4.70719210576254e-06	5.06673413878171e-06	0.271545006009235	1.03137453349358e-05	9.73546713897147e-06
-36000	0.139024226706307	5.74128660889367e-06	6.56474160288444e-06	0.271278575494971	1.15933329116326e-05	1.18597634258966e-05
-35000	0.138816370421912	4.57770889999368e-06	4.78556518438864e-06	0.2716140173319	1.08291479536973e-05	1.04937061167689e-05
-34000	0.138352583971156	5.4626478588146e-06	5.9264343095705e-06	0.271733885761275	1.11203744702385e-05	1.10005060408628e-05
-33000	0.137821810361187	5.6304004048327e-06	6.16117401480169e-06	0.271861471313809	1.12316402049465e-05	1.11040546524132e-05
-32000	0.137633879435764	5.63008412929345e-06	5.81801505471567e-06	0.272343222215194	1.17383136188247e-05	1.12565627174394e-05
-31000	0.137496362831299	5.97457144664431e-06	6.11208805111013e-06	0.272761654753621	1.10219495224239e-05	1.06035169839965e-05
-30000	0.137091909671706	6.87140236574104e-06	7.27585552533366e-06	0.272822695932697	1.28808273768107e-05	1.28197861977355e-05
