gene	me2_fold	me2_fdr	me2_n_peaks	mc_diff	mc_q	mc_sig	hmc_diff	hmc_q	hmc_sig	chromatin_state	dmr_status
5830428M24Rik	0.500330974527609	0.0116751962683506	2	NA	NA	NA	NA	NA	NA	NA	NA
5930438M14Rik	-0.434603729755557	0.0360667455333461	2	NA	NA	NA	NA	NA	NA	NA	NA
6030471H07Rik	-0.501574405048431	0.0395549423417502	4	NA	NA	NA	NA	NA	NA	NA	NA
6330410L21Rik	-0.62296630832775	0.00534830856590069	2	NA	NA	NA	NA	NA	NA	NA	NA
6330415B21Rik	-0.588320500412833	0.0284026520585124	1	NA	NA	NA	NA	NA	NA	NA	NA
6430584L05Rik	0.508923468153694	0.0360477109391766	1	NA	NA	NA	NA	NA	NA	NA	NA
6530403H02Rik	0.548698835775254	0.0181221505349664	8	NA	NA	NA	NA	NA	NA	NA	NA
6530411M01Rik	-0.854464242979429	0.00310602272900295	1	NA	NA	NA	NA	NA	NA	NA	NA
7420701I03Rik	0.523404602240607	0.0368274648360577	1	NA	NA	NA	NA	NA	NA	NA	NA
7630403G23Rik	0.498833608229685	0.039291028622569	2	NA	NA	NA	NA	NA	NA	NA	NA
8030443G20Rik	-0.461487733339624	0.0296607853032307	1	NA	NA	NA	NA	NA	NA	NA	NA
8430422H06Rik	-0.428602117701534	0.0398825850503024	3	NA	NA	NA	NA	NA	NA	NA	NA
8430423G03Rik	-0.51824070287192	0.0495865937187663	1	NA	NA	NA	NA	NA	NA	NA	NA
8430430B14Rik	-0.515483655689581	0.0143149242211959	3	NA	NA	NA	NA	NA	NA	NA	NA
9030204H09Rik	0.647914977816668	0.00797883113529284	3	NA	NA	NA	NA	NA	NA	NA	NA
9130015G15Rik	0.683564400013948	0.010717355914957	2	NA	NA	NA	NA	NA	NA	NA	NA
9130019P16Rik	-0.508064579697604	0.0480589002147647	3	NA	NA	NA	NA	NA	NA	NA	NA
