15	9	E	-2822793.3549298877	81
emissionprobs	11	8	H3K9me3	1	9.099404800950396E-213
emissionprobs	12	0	ATAC	0	0.02120824715343798
emissionprobs	12	0	ATAC	1	0.978791752846562
emissionprobs	12	1	CTCF	0	0.6816079136444101
emissionprobs	12	1	CTCF	1	0.31839208635558996
emissionprobs	12	2	H2AK119ub	0	1.0
emissionprobs	12	2	H2AK119ub	1	2.694097828137595E-63
emissionprobs	12	3	H3K27ac	0	1.0
emissionprobs	12	3	H3K27ac	1	1.7117834318876795E-108
emissionprobs	12	4	H3K27me3	0	1.0
emissionprobs	12	4	H3K27me3	1	2.885232870515802E-99
emissionprobs	12	5	H3K4me1	0	1.0
emissionprobs	12	5	H3K4me1	1	1.555924990673709E-35
emissionprobs	12	6	H3K4me3	0	1.0
emissionprobs	12	6	H3K4me3	1	3.4615128960127005E-90
emissionprobs	12	7	H3K9ac	0	1.0
emissionprobs	12	7	H3K9ac	1	1.3536753593258446E-106
emissionprobs	12	8	H3K9me3	0	1.0
emissionprobs	12	8	H3K9me3	1	1.833417490067994E-72
emissionprobs	13	0	ATAC	0	0.014334835228891497
emissionprobs	13	0	ATAC	1	0.9856651647711085
emissionprobs	13	1	CTCF	0	0.8480705558012462
emissionprobs	13	1	CTCF	1	0.15192944419875365
emissionprobs	13	2	H2AK119ub	0	0.9999874459092153
emissionprobs	13	2	H2AK119ub	1	1.2554090784688344E-5
emissionprobs	13	3	H3K27ac	0	1.0
emissionprobs	13	3	H3K27ac	1	6.2276029372183086E-149
emissionprobs	13	4	H3K27me3	0	1.0
emissionprobs	13	4	H3K27me3	1	2.939464818255637E-69
emissionprobs	13	5	H3K4me1	0	3.5227229845302597E-44
emissionprobs	13	5	H3K4me1	1	1.0
emissionprobs	13	6	H3K4me3	0	1.0
emissionprobs	13	6	H3K4me3	1	2.6332675441682643E-188
emissionprobs	13	7	H3K9ac	0	1.0
emissionprobs	13	7	H3K9ac	1	5.678836599636005E-194
emissionprobs	13	8	H3K9me3	0	1.0
emissionprobs	13	8	H3K9me3	1	9.229206415351773E-119
emissionprobs	14	0	ATAC	0	0.9629513805776034
emissionprobs	14	0	ATAC	1	0.037048619422396706
emissionprobs	14	1	CTCF	0	0.005907936970577255
emissionprobs	14	1	CTCF	1	0.9940920630294228
emissionprobs	14	2	H2AK119ub	0	1.0
emissionprobs	14	2	H2AK119ub	1	2.2282387496523993E-78
emissionprobs	14	3	H3K27ac	0	1.0
emissionprobs	14	3	H3K27ac	1	8.632089100802936E-51
emissionprobs	14	4	H3K27me3	0	1.0
emissionprobs	14	4	H3K27me3	1	5.264427448768912E-62
emissionprobs	14	5	H3K4me1	0	0.97600570923839
emissionprobs	14	5	H3K4me1	1	0.02399429076161008
emissionprobs	14	6	H3K4me3	0	1.0
emissionprobs	14	6	H3K4me3	1	7.790389238945699E-88
emissionprobs	14	7	H3K9ac	0	1.0
emissionprobs	14	7	H3K9ac	1	7.566834080838685E-63
emissionprobs	14	8	H3K9me3	0	1.0
emissionprobs	14	8	H3K9me3	1	2.453684548897041E-96
emissionprobs	15	0	ATAC	0	0.9712013936059564
emissionprobs	15	0	ATAC	1	0.028798606394043674
emissionprobs	15	1	CTCF	0	0.9979532403689523
emissionprobs	15	1	CTCF	1	0.0020467596310476087
emissionprobs	15	2	H2AK119ub	0	0.99177368566338
emissionprobs	15	2	H2AK119ub	1	0.00822631433662005
emissionprobs	15	3	H3K27ac	0	1.0
emissionprobs	15	3	H3K27ac	1	1.9855823939128616E-38
emissionprobs	15	4	H3K27me3	0	0.9825460107204047
emissionprobs	15	4	H3K27me3	1	0.01745398927959529
emissionprobs	15	5	H3K4me1	0	0.9761097503616827
emissionprobs	15	5	H3K4me1	1	0.02389024963831732
emissionprobs	15	6	H3K4me3	0	1.0
emissionprobs	15	6	H3K4me3	1	6.349236720286447E-26
emissionprobs	15	7	H3K9ac	0	0.9984991447655862
emissionprobs	15	7	H3K9ac	1	0.0015008552344136883
emissionprobs	15	8	H3K9me3	0	0.029949919007423872
emissionprobs	15	8	H3K9me3	1	0.9700500809925762
